order_id,arrival_scan_date,on_truck_scan_date,ship_mode,delivery_time
CA-2019-109666,2019-05-03,2019-04-29,Standard Processing,4
CA-2019-138933,2019-05-03,2019-04-29,Express,4
CA-2019-130001,2019-05-03,2019-05-01,Standard Processing,2
CA-2019-113061,2019-05-06,2019-04-29,Standard Processing,7
CA-2019-162138,2019-05-06,2019-05-01,Standard Processing,5
CA-2019-126270,2019-05-06,2019-05-01,Standard Processing,5
CA-2019-168081,2019-05-06,2019-05-01,Standard Processing,5
CA-2019-149279,2019-05-06,2019-05-01,Standard Processing,5
CA-2019-146836,2019-05-06,2019-05-03,Express,3
CA-2019-109869,2019-05-07,2019-05-01,Standard Processing,6
CA-2019-109057,2019-05-07,2019-05-01,Standard Processing,6
US-2019-150147,2019-05-07,2019-05-01,Standard Processing,6
CA-2019-161816,2019-05-07,2019-05-03,Express,4
CA-2019-167605,2019-05-07,2019-05-03,Standard Processing,4
CA-2019-101329,2019-05-08,2019-05-01,Standard Processing,7
CA-2019-152814,2019-05-10,2019-05-06,Standard Processing,4
CA-2019-145247,2019-05-10,2019-05-08,Express,2
CA-2019-129280,2019-05-13,2019-05-06,Express,7
CA-2019-154788,2019-05-13,2019-05-08,Standard Processing,5
CA-2019-144792,2019-05-13,2019-05-08,Standard Processing,5
CA-2019-101525,2019-05-13,2019-05-08,Standard Processing,5
CA-2019-104311,2019-05-13,2019-05-08,Standard Processing,5
CA-2019-109400,2019-05-13,2019-05-08,Standard Processing,5
US-2019-102239,2019-05-13,2019-05-08,Express,5
CA-2019-106530,2019-05-13,2019-05-08,Express,5
CA-2019-111696,2019-05-13,2019-05-10,Express,3
CA-2019-112676,2019-05-14,2019-05-10,Express,4
CA-2019-160500,2019-05-14,2019-05-10,Express,4
CA-2019-126165,2019-05-14,2019-05-10,Standard Processing,4
CA-2019-118052,2019-05-15,2019-05-13,Standard Processing,2
CA-2019-137729,2019-05-17,2019-05-13,Standard Processing,4
CA-2019-137393,2019-05-17,2019-05-13,Standard Processing,4
CA-2019-164672,2019-05-20,2019-05-15,Standard Processing,5
CA-2019-169166,2019-05-20,2019-05-15,Standard Processing,5
CA-2019-161158,2019-05-20,2019-05-15,Standard Processing,5
US-2019-144057,2019-05-20,2019-05-15,Standard Processing,5
CA-2019-133816,2019-05-20,2019-05-15,Standard Processing,5
CA-2019-162733,2019-05-20,2019-05-15,Express,5
CA-2019-141019,2019-05-20,2019-05-15,Express,5
CA-2019-108224,2019-05-20,2019-05-15,Express,5
US-2019-159093,2019-05-21,2019-05-15,Standard Processing,6
CA-2019-159765,2019-05-22,2019-05-15,Standard Processing,7
CA-2019-109176,2019-05-22,2019-05-17,Standard Processing,5
CA-2019-161543,2019-05-22,2019-05-17,Standard Processing,5
CA-2019-105256,2019-05-24,2019-05-20,Express,4
CA-2019-158435,2019-05-27,2019-05-20,Express,7
US-2019-117037,2019-05-27,2019-05-20,Express,7
US-2019-148901,2019-05-27,2019-05-22,Standard Processing,5
CA-2019-152408,2019-05-27,2019-05-22,Standard Processing,5
CA-2019-141180,2019-05-27,2019-05-22,Standard Processing,5
CA-2019-165673,2019-05-27,2019-05-22,Standard Processing,5
CA-2019-133144,2019-05-27,2019-05-22,Standard Processing,5
CA-2019-130638,2019-05-27,2019-05-22,Standard Processing,5
US-2019-150567,2019-05-27,2019-05-22,Standard Processing,5
CA-2019-127642,2019-05-27,2019-05-24,Express,3
CA-2019-100510,2019-05-28,2019-05-22,Standard Processing,6
US-2019-146570,2019-05-28,2019-05-22,Standard Processing,6
CA-2019-122133,2019-05-28,2019-05-24,Standard Processing,4
CA-2019-138282,2019-05-31,2019-05-28,Standard Processing,3
CA-2019-119186,2019-05-31,2019-05-28,Express,3
CA-2019-157245,2019-06-03,2019-05-29,Standard Processing,5
